from_node,to_node,edge_key,distance_km,traffic_weight,travel_time_min,highway_type,maxspeed
306582445,6096432316,0,0.055,1.46,0.11,residential,unknown
306582445,306582104,0,0.067,1.0,0.12,residential,unknown
306582445,443224603,0,0.203,1.65,0.41,residential,unknown
306835061,10068956866,0,0.007,3.35,0.02,secondary,unknown
306835061,9363518172,0,0.009,2.84,0.02,secondary,unknown
308915753,1759977210,0,0.014,2.97,0.03,tertiary,unknown
308915753,11809900886,0,0.064,2.78,0.15,primary,25
308915754,3801692755,0,0.27,3.34,0.68,primary,unknown
308915757,308915759,0,0.113,2.93,0.27,primary,unknown
308915759,1469644253,0,0.01,3.17,0.02,tertiary,unknown
308917132,305091122,0,0.204,2.19,0.44,residential,unknown
308917132,595766030,0,0.16,1.59,0.32,residential,unknown
308917132,308917133,0,0.084,1.83,0.17,residential,unknown
308917132,4464082677,0,0.088,2.44,0.2,residential,unknown
308917133,263226936,0,0.073,1.9,0.15,residential,unknown
308917133,265524447,0,0.085,1.09,0.16,residential,unknown
308917133,308917132,0,0.084,1.63,0.17,residential,unknown
308917326,309593965,0,0.086,2.25,0.19,residential,unknown
308917326,265525615,0,0.021,2.55,0.05,tertiary,unknown
308917326,2228517315,0,0.055,2.6,0.13,tertiary,unknown
308917360,5389442283,0,0.057,1.32,0.11,residential,unknown
308917360,309593965,0,0.044,1.85,0.09,residential,unknown
308917360,5389442282,0,0.089,1.75,0.18,residential,unknown
308917419,308917473,0,0.053,2.71,0.12,residential,unknown
308917419,305091884,0,0.017,2.56,0.04,tertiary,unknown
308917419,303931711,0,0.113,3.56,0.29,tertiary,unknown
308917473,4267702363,0,0.074,2.14,0.16,residential,unknown
308917473,308917419,0,0.053,1.57,0.1,residential,unknown
308917473,6528482687,0,0.043,1.69,0.09,residential,unknown
308917649,6528482691,0,0.038,2.42,0.08,residential,unknown
308917649,6504218262,0,0.164,2.44,0.37,residential,unknown
308917649,5431786084,0,0.052,1.76,0.11,residential,20
308917653,6504218262,0,0.087,1.4,0.17,residential,unknown
308917653,11395457761,0,0.049,1.0,0.09,residential,unknown
308917653,583466957,0,0.016,1.76,0.03,residential,unknown
308918175,583466957,0,0.053,1.68,0.11,residential,unknown
308918175,304771894,0,0.145,3.57,0.37,primary,unknown
309592649,305091961,0,0.035,1.43,0.07,residential,unknown
309592649,309592656,0,0.118,1.0,0.21,residential,unknown
309592649,583466958,0,0.054,1.22,0.1,residential,unknown
309592656,309592657,0,0.034,1.99,0.07,residential,unknown
309592656,305091860,0,0.05,1.5,0.1,residential,unknown
309592656,309592649,0,0.118,1.57,0.23,residential,unknown
309592657,305091861,0,0.043,2.6,0.1,residential,unknown
309592657,309592656,0,0.034,1.0,0.06,residential,unknown
309592657,305091961,0,0.11,2.45,0.24,residential,unknown
309592695,5431786084,0,0.045,2.55,0.1,tertiary,unknown
309592695,1625402539,0,0.103,4.04,0.28,primary,unknown
309592832,309593063,0,0.048,2.28,0.1,tertiary,unknown
